subject, fuzzer, trial, total, tte, crashes
file_magic_fuzzer, afl, trial-753160, 82798, 419,  4
file_magic_fuzzer, aflchurn, trial-753501, 82799, 667,  6
file_magic_fuzzer, aflchurn, trial-753507, 82798, 409,  4
file_magic_fuzzer, aflchurn, trial-753503, 82795, 413,  6
file_magic_fuzzer, aflchurn, trial-753514, 5397, 856,  4
file_magic_fuzzer, aflchurn, trial-753508, 82799, 424,  5
file_magic_fuzzer, aflchurn, trial-753505, 82800, 638,  4
file_magic_fuzzer, aflchurn, trial-753511, 82797, 204,  6
file_magic_fuzzer, aflchurn, trial-753502, 82798, 20,  6
file_magic_fuzzer, aflchurn, trial-753504, 12598, 593,  4
file_magic_fuzzer, aflchurn, trial-753506, 82798, 619,  5
file_magic_fuzzer, aflchurn, trial-753516, 82800, 387,  6
file_magic_fuzzer, aflchurn, trial-753512, 9899, 424,  5
file_magic_fuzzer, aflchurn, trial-763088, 80113, 440,  7
file_magic_fuzzer, aflchurn, trial-753509, 82796, 480,  6
file_magic_fuzzer, aflchurn, trial-758167, 50404, 728,  5
file_magic_fuzzer, aflchurn, trial-753510, 82796, 486,  5
file_magic_fuzzer, aflchurn, trial-753515, 82795, 759,  5
file_magic_fuzzer, aflchurn, trial-753513, 82787, 489,  5
file_magic_fuzzer, aflchurn, trial-753517, 2689, 592,  6
file_magic_fuzzer, aflchurn, trial-757971, 82797, 736,  5
file_magic_fuzzer, aflchurn, trial-753520, 82795, 143,  5
file_magic_fuzzer, aflchurn, trial-753519, 82799, 424,  5
file_magic_fuzzer, aflchurn, trial-758113, 82784, 275,  5
file_magic_fuzzer, aflchurn, trial-757796, 82798, 382,  5
file_magic_fuzzer, aflchurn, trial-753518, 82722, 1338,  4
file_magic_fuzzer, aflchurn_noaco, trial-753883, 82795, 348,  6
file_magic_fuzzer, aflchurn_noaco, trial-753881, 82798, 653,  5
file_magic_fuzzer, aflchurn_noaco, trial-753882, 82789, 188,  5
file_magic_fuzzer, aflchurn_noaco, trial-753896, 82798, 286,  5
